station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,snowdepth,tmp_c,P_mm,meltrate,HP_fresh_snow,snowfall,cummulative_snowfall,delta_snow_depth,albedo,wind_speed_ms,U10,dwp_c,k,e_sat,Ea,sat_def,tmp_k,air_density,Pra,sublimation_rate,cumulative_sublimation
P60,2024-05-24T13:56:00Z,40,28,61.91,null,NA,0,29.99,1014.3,null,null,null,null,null,null,null,null,null,3006.011934933651,4.444444444444445,0,2.2222222222222223,352.9850312374796,0,4828.789712711446,-2.2222222222221717,0.8052907363144275,NA,NA,-2.2222222222222223,0.63,8.38959017377775,5.193995276585805,3.1955948971919446,277.59444444444443,1.2731329506742743,101447.67073170732,NA,NA
P60,2024-05-24T14:56:00Z,42,28,57.3,null,NA,0,29.97,1013.5,null,null,null,null,null,null,null,null,null,3003.234157155873,5.555555555555555,0,2.7777777777777777,505.70055245053936,0,4828.789712711446,-2.7777777777778283,0.80225304273326,NA,NA,-2.2222222222222223,0.63,9.064899442203664,5.194187380382699,3.8707120618209654,278.7055555555555,1.2670572274665337,101367.6567944251,NA,NA
P60,2024-05-24T15:56:00Z,46,27,47.2,null,5,0,29.96,1012.4,null,null,null,null,null,null,null,null,43.02,2999.3452682669845,7.777777777777779,0,3.8888888888888897,1100.3996560128166,0,4828.789712711446,-3.888888888888687,0.7992455747082443,2.57201646090535,3.3533023894760317,-2.7777777777777777,0.63,10.561252983261864,4.984911408099601,5.576341575162264,280.92777777777775,1.2556701086336004,101257.63763066204,-8.714991283871604e-4,NA
P60,2024-05-24T16:56:00Z,45,24,43.28,null,6,0,29.94,1011.6,null,null,null,null,null,null,null,null,41.19,2995.734157155873,7.222222222222222,0,3.611111111111111,901.0739229265652,0,4828.789712711446,-3.6111111111113137,0.7962680314900715,3.0864197530864197,4.023962867371237,-4.444444444444445,0.63,10.168048309110757,4.400731308183136,5.767317000927621,280.3722222222222,1.2571640114777458,101177.6236933798,-0.0010063468104848853,NA
P60,2024-05-24T17:56:00Z,46,23,39.96,null,5,0,29.92,1010.8,null,21.00,null,null,null,null,null,null,43.02,2991.8452682669845,7.777777777777779,0,3.8888888888888897,1100.3996560128166,0,4828.789712711446,-3.888888888888687,0.7933201153219386,2.57201646090535,3.3533023894760317,-5,0.63,10.561252983261864,4.220276692111441,6.340976291150423,280.92777777777775,1.2536856438234327,101097.60975609758,-9.910001452341877e-4,NA
P60,2024-05-24T18:56:00Z,46,23,39.96,null,3,0,29.89,1009.7,null,null,null,null,null,null,null,null,44.69,2987.956379378096,7.777777777777779,0,3.8888888888888897,1100.3996560128166,0,4828.789712711446,-3.888888888888687,0.7904015314097721,1.5432098765432098,2.0119814336856185,-5,0.63,10.561252983261864,4.220276692111441,6.340976291150423,280.92777777777775,1.2523213242664424,100987.5905923345,-5.946000871405125e-4,NA
P60,2024-05-24T19:56:00Z,44,25,46.88,0.00,0,0,29.9,1009.8,null,null,null,null,null,null,null,null,44.00,2984.6230460447623,6.666666666666667,0,3.3333333333333335,740.2290912692118,0,4828.789712711446,-3.333333333333485,0.7875119878927487,0,0,-3.8888888888888893,0.63,9.787833431515498,4.588536312694465,5.199297118821033,279.81666666666666,1.257418630873085,100997.59233449478,-0,NA
P60,2024-05-24T20:56:00Z,36,27,69.51,0.00,0,0,29.9,1010.6,null,null,null,null,null,null,null,null,36.00,2983.511934933651,2.2222222222222223,0,1.1111111111111112,188.79010735049764,0,4828.789712711446,-1.1111111111113132,0.7846511958141087,0,0,-2.7777777777777777,0.63,7.171071545293884,4.98461183113378,2.1864597141601045,275.3722222222222,1.278725329295954,101077.60627177701,-0,NA
P60,2024-05-24T21:56:00Z,33,27,78.34,0.00,0,0,29.9,1011.2,null,null,null,null,null,null,null,null,33.00,2983.234157155873,0.5555555555555556,0,0.2777777777777778,131.43117232310118,0,4828.789712711446,-0.2777777777778283,0.7818188690922602,0,0,-2.7777777777777777,0.63,6.362854733030447,4.984660397856052,1.3781943351743946,273.7055555555555,1.287275642097823,101137.61672473868,-0,NA
P60,2024-05-24T22:56:00Z,32,27,81.55,0.00,0,0,29.89,1010.4,null,null,null,null,null,null,null,null,32.00,2983.234157155873,0,0,0,119.17,0,4828.789712711446,0,0.7810047577423371,0,0,-2.7777777777777777,0.63,6.112,4.984336,1.1276640000000002,273.15,1.2888733264833239,101057.60278745646,0,NA
P60,2024-05-24T23:56:00Z,30,27,88.44,310.00,3,0,29.87,1010.3,null,null,null,null,null,null,null,null,26.40,2983.234157155873,-1.1111111111111112,0,0,101.29193205395168,0,4828.789712711446,0,0.7801987469356925,1.5432098765432098,2.0119814336856185,-2.7777777777777777,0.63,5.6364517177338636,4.984877899163829,0.6515738185700348,272.0388888888889,1.294009497543286,101047.60104529618,9.01359656547793e-6,NA
P60,2024-05-25T00:56:00Z,29,26,88.38,0.00,0,0,29.86,1009.5,null,null,null,null,null,null,null,null,29.00,2983.234157155873,-1.6666666666666667,0,0,94.8493016520642,0,4828.789712711446,0,0.7794007560705739,0,0,-3.3333333333333335,0.63,5.411227532591952,4.782442893304767,0.6287846392871854,271.4833333333333,1.2956307702575198,100967.58710801393,0,NA
P60,2024-05-25T01:56:00Z,29,27,92.12,0.00,0,0,29.85,1009.3,null,null,null,null,null,null,null,null,29.00,2983.234157155873,-1.6666666666666667,0,0,94.8493016520642,0,4828.789712711446,0,0.7786107053472299,0,0,-2.7777777777777777,0.63,5.411227532591952,4.9848228030237065,0.4264047295682456,271.4833333333333,1.295374082635874,100947.58362369338,0,NA
P60,2024-05-25T02:56:00Z,32,31,96.04,0.00,0,0.01,29.85,1008.6,null,null,null,null,null,null,null,null,32.00,2985.365566067512,0,0.254,0,119.17,2.131408911638835,4830.921121623084,2.131408911639028,0.84,0,0,-0.5555555555555556,0.63,6.112,5.8699648,0.24203520000000012,273.15,1.2865772338589474,100877.57142857143,0,NA
P60,2024-05-25T03:56:00Z,30,29,96,0.00,0,0,29.85,1008,null,null,null,null,null,null,null,null,30.00,2985.365566067512,-1.1111111111111112,0,0,101.29193205395168,0,4830.921121623084,0,0.8386069767248835,0,0,-1.6666666666666667,0.63,5.6364517177338636,5.410993649024509,0.22545806870935436,272.0388888888889,1.2910636182555997,100817.56097560977,0,NA
P60,2024-05-25T05:56:00Z,28,26,92.08,0.00,0,0,29.83,1007.6,null,null,null,null,null,null,null,null,28.00,2985.365566067512,-2.2222222222222223,0,0,89.65045559050863,0,4830.921121623084,0,0.8372278142629457,0,0,-3.3333333333333335,0.63,5.19402748706345,4.782660510088025,0.4113669769754251,270.92777777777775,1.2958440151559052,100777.55400696867,0,NA
P60,2024-05-25T06:56:00Z,30,28,92.15,0.00,0,0,29.82,1007.2,null,null,null,null,null,null,null,null,30.00,2985.365566067512,-1.1111111111111112,0,0,101.29193205395168,0,4830.921121623084,0,0.835862374696791,0,0,-2.2222222222222223,0.63,5.6364517177338636,5.193990257891755,0.44246145984210816,272.0388888888889,1.2900389645903174,100737.54703832752,0,NA
P60,2024-05-25T07:56:00Z,35,30,81.78,0.00,0,0,29.83,1006.5,null,null,null,null,null,null,null,null,35.00,2984.5322327341787,1.6666666666666667,0,0.8333333333333334,165.4554850985772,0,4830.921121623084,-0.8333333333334849,0.8325204882311588,0,0,-1.1111111111111112,0.63,6.892104062653422,5.636362702437968,1.2557413602154535,274.81666666666666,1.2761120654187577,100667.53484320558,-0,NA
P60,2024-05-25T08:56:00Z,39,33,78.86,0.00,0,0,29.83,1007.2,null,null,null,null,null,null,null,null,39.00,2982.5877882897344,3.8888888888888897,0,1.9444444444444449,297.9516986214223,0,4830.921121623084,-1.9444444444443432,0.8292118540914509,0,0,0.5555555555555556,0.63,8.068937788158186,6.363164339741545,1.7057734484166405,277.0388888888889,1.266756331423468,100737.54703832752,-0,NA
P60,2024-05-25T09:56:00Z,42,32,67.42,0.00,0,0,29.82,1007.1,null,null,null,null,null,null,null,null,42.00,2979.8100105119565,5.555555555555555,0,2.7777777777777777,505.70055245053936,0,4830.921121623084,-2.7777777777778283,0.8259361414114964,0,0,0,0.63,9.064899442203664,6.11155520393371,2.9533442382699544,278.7055555555555,1.259056076745482,100727.54529616724,-0,NA
P60,2024-05-25T10:56:00Z,43,29,57.44,0.00,0,0,29.81,1006.8,null,null,null,null,null,null,null,null,43.00,2976.754454956401,6.111111111111112,0,3.055555555555556,610.4362167100221,0,4830.921121623084,-3.0555555555556566,0.8226930226172974,0,0,-1.6666666666666667,0.63,9.420237761030545,5.410984569935945,4.009253191094601,279.26111111111106,1.2561770320703474,100697.54006968642,-0,NA
P60,2024-05-25T11:56:00Z,42,30,62.18,null,5,0,29.83,1007.9,null,14.00,null,null,null,null,null,null,38.27,2973.976677178623,5.555555555555555,0,2.7777777777777777,505.70055245053936,0,4830.921121623084,-2.7777777777778283,0.8194821733942718,2.57201646090535,3.3533023894760317,-1.1111111111111112,0.63,9.064899442203664,5.636554473162239,3.428344969041426,278.7055555555555,1.2600562205856134,100807.55923344947,-3.857652703334771e-4,NA
P60,2024-05-25T12:56:00Z,43,30,59.83,0.00,0,0.01,29.83,1008,null,null,null,null,null,null,null,null,43.00,2971.3372175116256,6.111111111111112,0.254,3.055555555555556,610.4362167100221,0.4160958885580975,4831.337217511643,-2.6394596669974817,0.8163032726548216,0,0,-1.1111111111111112,0.63,9.420237761030545,5.636128252424575,3.7841095086059706,279.26111111111106,1.2576742633362237,100817.56097560975,-0,NA
P60,2024-05-25T13:56:00Z,44,32,62.44,0.00,0,0,29.82,1007.3,null,null,null,null,null,null,null,null,44.00,2968.003884178292,6.666666666666667,0,3.3333333333333335,740.2290912692118,0,4831.337217511643,-3.333333333333485,0.8131560025062239,0,0,0,0.63,9.787833431515498,6.111523194638277,3.676310236877221,279.81666666666666,1.2543055920761126,100747.5487804878,-0,NA
P60,2024-05-25T14:56:00Z,42,32,67.42,null,NA,0.01,29.83,1007.8,null,null,null,null,null,null,null,null,null,2965.728379927346,5.555555555555555,0.254,2.7777777777777777,505.70055245053936,0.5022735268315587,4831.839491038474,-2.275504250946142,0.810040048218841,NA,NA,0,0.63,9.064899442203664,6.11155520393371,2.9533442382699544,278.7055555555555,1.259931202605597,100797.55749128919,NA,NA
P60,2024-05-25T15:56:00Z,42,35,76.03,null,NA,0.02,29.84,1008.5,null,null,null,null,null,null,null,null,null,2963.955149203231,5.555555555555555,0.508,2.7777777777777777,505.70055245053936,1.0045470536631174,4832.8440380921375,-1.77323072411491,0.8069550981946476,NA,NA,1.6666666666666667,0.63,9.064899442203664,6.892043045907446,2.1728563962962184,278.7055555555555,1.260806328465712,100867.56968641115,NA,NA
P60,2024-05-25T16:56:00Z,46,33,60.25,null,NA,0,29.84,1007.7,null,null,null,null,null,null,null,null,null,2960.0662603143423,7.777777777777779,0,3.8888888888888897,1100.3996560128166,0,4832.8440380921375,-3.888888888888687,0.8039008439360704,NA,NA,0.5555555555555556,0.63,10.561252983261864,6.363154922415273,4.198098060846592,280.92777777777775,1.2498407432537328,100787.55574912894,NA,NA
P60,2024-05-25T17:56:00Z,41,34,75.94,null,3,0,29.86,1009.4,null,null,null,null,null,null,null,null,38.98,2957.5662603143423,5,0,2.5,421.1846697017323,0,4832.8440380921375,-2.5,0.8008769800151384,1.5432098765432098,2.0119814336856185,1.1111111111111112,0.63,8.72146519765052,6.6230806710958054,2.0983845265547147,278.15,1.2644519758158217,100957.58536585368,-1.2775679479832332e-4,NA
P60,2024-05-25T18:56:00Z,36,34,92.35,260.00,4,0.07,29.88,1010.9,null,null,null,null,null,null,null,null,32.09,2965.8730155573144,2.2222222222222223,1.778,1.1111111111111112,188.79010735049764,9.417866354083165,4842.261904446221,8.30675524297203,0.84,2.05761316872428,2.682641911580825,1.1111111111111112,0.63,7.171071545293884,6.622484572078902,0.5485869732149826,275.3722222222222,1.2791049231993665,101107.61149825784,-1.999215344791775e-5,NA
P60,2024-05-25T19:56:00Z,37,35,92.39,0.00,0,0.03,29.89,1010.1,null,null,null,null,null,null,null,null,37.00,2967.9842380053274,2.7777777777777777,0.7619999999999999,1.3888888888888888,217.70736032486235,3.500111336901727,4845.7620157831225,2.1112224480129953,0.84,0,0,1.6666666666666667,0.63,7.459995053643039,6.892289430060804,0.5677056235822349,275.92777777777775,1.2755193491089685,101027.59756097563,-0,NA
P60,2024-05-25T20:56:00Z,33,32,96.06,300.00,5,0.07,29.91,1011,null,null,null,null,null,null,null,null,27.58,2981.2344533860455,0.5555555555555556,1.778,0.2777777777777778,131.43117232310118,13.527993158495836,4859.290008941618,13.250215380718146,0.84,2.57201646090535,3.3533023894760317,0,0.63,6.362854733030447,6.112158256549048,0.2506964764813988,273.7055555555555,1.2870210385293703,101117.61324041813,-2.872426034233266e-6,NA
P60,2024-05-25T21:56:00Z,33,32,96.06,0.00,0,0.08,29.93,1010.9,null,null,null,null,null,null,null,null,33.00,2996.417239217977,0.5555555555555556,2.032,0.2777777777777778,131.43117232310118,15.460563609709526,4874.750572551327,15.182785831931596,0.84,0,0,0,0.63,6.362854733030447,6.112158256549048,0.2506964764813988,273.7055555555555,1.2868937367451438,101107.61149825784,-0,NA
P60,2024-05-25T22:56:00Z,34,32,92.29,0.00,0,0.01,29.93,1010.7,null,null,null,null,null,null,null,null,34.00,2997.5939852731894,1.1111111111111112,0.254,0.5555555555555556,146.62573677765175,1.7323016107681986,4876.482874162096,1.176746055212334,0.84,0,0,0,0.63,6.622795147787128,6.112177641892742,0.5106175058943867,274.26111111111106,1.284032859485406,101087.60801393728,-0,NA
P60,2024-05-25T23:56:00Z,34,32,92.29,270.00,6,0.03,29.93,1010.9,null,null,null,null,null,null,null,null,27.94,3002.235334549938,1.1111111111111112,0.7619999999999999,0.5555555555555556,146.62573677765175,5.196904832304595,4881.6797789944,4.64134927674877,0.84,3.0864197530864197,4.023962867371237,0,0.63,6.622795147787128,6.112177641892742,0.5106175058943867,274.26111111111106,1.2842869473174996,101107.61149825783,-1.4012865303905008e-5,NA
P60,2024-05-26T00:56:00Z,34,33,96.08,0.00,0,0,29.93,1010.5,null,null,null,null,null,null,null,null,34.00,3001.6797789943826,1.1111111111111112,0,0.5555555555555556,146.62573677765175,0,4881.6797789944,-0.5555555555556566,0.8366169434747172,0,0,0.5555555555555556,0.63,6.622795147787128,6.363181577993872,0.259613569793256,274.26111111111106,1.2837787716533122,101067.60452961671,-0,NA
P60,2024-05-26T01:56:00Z,34,32,92.29,0.00,0,0,29.93,1010.7,null,null,null,null,null,null,null,null,34.00,3001.124223438827,1.1111111111111112,0,0.5555555555555556,146.62573677765175,0,4881.6797789944,-0.5555555555556566,0.8332675489242969,0,0,0,0.63,6.622795147787128,6.112177641892742,0.5106175058943867,274.26111111111106,1.284032859485406,101087.60801393728,-0,NA
P60,2024-05-26T02:56:00Z,32,31,96.04,null,4,0.09,29.93,1011.4,null,null,null,null,null,null,null,null,27.42,3020.3069036435763,0,2.2859999999999996,0,119.17,19.182680204749513,4900.86245919915,19.18268020474943,0.84,2.05761316872428,2.682641911580825,-0.5555555555555556,0.63,6.112,5.8699648,0.24203520000000012,273.15,1.2901489334968663,101157.62020905924,0,NA
P60,2024-05-26T03:56:00Z,32,31,96.04,null,4,0.09,29.94,1011.8,null,null,null,null,null,null,null,null,27.42,3039.4895838483258,0,2.2859999999999996,0,119.17,19.182680204749513,4920.045139403899,19.18268020474943,0.84,2.05761316872428,2.682641911580825,-0.5555555555555556,0.63,6.112,5.8699648,0.24203520000000012,273.15,1.2906591763022834,101197.62717770036,0,NA
P60,2024-05-26T04:56:00Z,33,31,92.25,null,3,0.03,29.96,1011.3,null,null,null,null,null,null,null,null,29.83,3045.009517424189,0.5555555555555556,0.7619999999999999,0.2777777777777778,131.43117232310118,5.797711353641072,4925.842850757541,5.519933575863433,0.84,1.5432098765432098,2.0119814336856185,-0.5555555555555556,0.63,6.362854733030447,5.869733491220587,0.4931212418098596,273.7055555555555,1.2874029438820496,101147.61846689894,-3.3900459541077966e-6,NA
P60,2024-05-26T05:56:00Z,32,31,96.04,0.00,0,0,29.98,1013.2,null,null,null,null,null,null,null,null,32.00,3045.009517424189,0,0,0,119.17,0,4925.842850757541,0,0.8386069767248835,0,0,-0.5555555555555556,0.63,6.112,5.8699648,0.24203520000000012,273.15,1.2924450261212428,101337.65156794427,0,NA
P60,2024-05-26T06:56:00Z,33,31,92.25,null,3,0.01,29.99,1014.2,null,null,null,null,null,null,null,null,29.83,3046.6643100976253,0.5555555555555556,0.254,0.2777777777777778,131.43117232310118,1.9325704512136908,4927.775421208754,1.6547926734360772,0.84,1.5432098765432098,2.0119814336856185,-0.5555555555555556,0.63,6.362854733030447,5.869733491220587,0.4931212418098596,273.7055555555555,1.2910946956246165,101437.66898954705,-3.3900459541077957e-6,NA
P60,2024-05-26T07:56:00Z,34,32,92.29,null,3,0,30.01,1014.6,null,null,null,null,null,null,null,null,30.97,3046.1087545420696,1.1111111111111112,0,0.5555555555555556,146.62573677765175,0,4927.775421208754,-0.5555555555556566,0.8366169434747172,1.5432098765432098,2.0119814336856185,0,0.63,6.622795147787128,6.112177641892742,0.5106175058943867,274.26111111111106,1.2889875722112327,101477.67595818816,-7.0064326519525024e-6,NA
P60,2024-05-26T08:56:00Z,39,34,82.08,null,4,0,30.03,1015.1,null,null,null,null,null,null,null,null,35.59,3044.1643100976253,3.8888888888888897,0,1.9444444444444449,297.9516986214223,0,4927.775421208754,-1.9444444444443432,0.8332675489242969,2.05761316872428,2.682641911580825,1.1111111111111112,0.63,8.068937788158186,6.622984136520239,1.4459536516379465,277.0388888888889,1.2766921684153716,101527.68466898955,-9.166127618078003e-5,NA
P60,2024-05-26T09:56:00Z,36,33,88.73,0.00,0,0,30.04,1016,null,null,null,null,null,null,null,null,36.00,3043.053198986514,2.2222222222222223,0,1.1111111111111112,188.79010735049764,0,4927.775421208754,-1.1111111111113132,0.8299514814064929,0,0,0.5555555555555556,0.63,7.171071545293884,6.362891782139263,0.8081797631546213,275.3722222222222,1.285558019557381,101617.70034843207,-0,NA
P60,2024-05-26T10:56:00Z,36,32,85.23,null,3,0,30.06,1016.4,null,null,null,null,null,null,null,null,33.26,3041.942087875402,2.2222222222222223,0,1.1111111111111112,188.79010735049764,0,4927.775421208754,-1.1111111111113132,0.82666840931179,1.5432098765432098,2.0119814336856185,0,0.63,7.171071545293884,6.111904278053978,1.0591672672399062,275.3722222222222,1.2860641447619312,101657.70731707317,-2.8949422198602417e-5,NA
P60,2024-05-26T11:56:00Z,39,33,78.86,null,4,0,30.06,1015.8,null,null,null,null,null,null,null,null,35.59,3039.9976434309583,3.8888888888888897,0,1.9444444444444449,297.9516986214223,0,4927.775421208754,-1.9444444444443432,0.8234180043302428,2.05761316872428,2.682641911580825,0.5555555555555556,0.63,8.068937788158186,6.363164339741545,1.7057734484166405,277.0388888888889,1.2775725590349074,101597.6968641115,-1.0813166174451402e-4,NA
P60,2024-05-26T12:56:00Z,39,33,78.86,null,3,0,30.08,1016.5,null,null,null,null,null,null,null,null,36.69,3038.053198986514,3.8888888888888897,0,1.9444444444444449,297.9516986214223,0,4927.775421208754,-1.9444444444443432,0.8201999414186446,1.5432098765432098,2.0119814336856185,0.5555555555555556,0.63,8.068937788158186,6.363164339741545,1.7057734484166405,277.0388888888889,1.2784529496544432,101667.70905923346,-8.109874630838551e-5,NA
P60,2024-05-26T13:56:00Z,41,33,72.96,250.00,7,0,30.09,1016.6,null,null,null,null,null,null,null,null,35.75,3035.553198986514,5,0,2.5,421.1846697017323,0,4927.775421208754,-2.5,0.8170138987680224,3.60082304526749,4.694623345266444,0.5555555555555556,0.63,8.72146519765052,6.363181008205819,2.358284189444701,278.15,1.2734712488749398,101677.71080139374,-3.350208661599701e-4,NA
P60,2024-05-26T14:56:00Z,40,35,82.15,null,6,0,30.1,1017.6,null,17.00,null,null,null,null,null,null,35.17,3033.330976764292,4.444444444444445,0,2.2222222222222223,352.9850312374796,0,4927.775421208754,-2.2222222222221717,0.8138595577714562,3.0864197530864197,4.023962867371237,1.6666666666666667,0.63,8.38959017377775,6.892048327758422,1.4975418460193275,277.59444444444443,1.2772750572869385,101777.72822299652,-1.6241407628998816e-4,NA
P60,2024-05-26T15:56:00Z,45,35,67.78,250.00,7,0,30.1,1016.6,null,null,null,null,null,null,null,null,40.63,3029.7198656531805,7.222222222222222,0,3.611111111111111,901.0739229265652,0,4927.775421208754,-3.6111111111113137,0.8107366029922177,3.60082304526749,4.694623345266444,1.6666666666666667,0.63,10.168048309110757,6.891903143915272,3.2761451651954854,280.3722222222222,1.2633777521434126,101677.71080139372,-6.669354126609106e-4,NA
P60,2024-05-26T16:56:00Z,46,33,60.25,250.00,7,0,30.12,1017,null,null,null,null,null,null,null,null,41.84,3025.830976764292,7.777777777777779,0,3.8888888888888897,1100.3996560128166,0,4927.775421208754,-3.888888888888687,0.8076447221322264,3.60082304526749,4.694623345266444,0.5555555555555556,0.63,10.561252983261864,6.363154922415273,4.198098060846592,280.92777777777775,1.2613754449628325,101717.71777003485,-9.185402745216947e-4,NA
