valid,tmpf,p01i,relh,sknt,tmp_c,Td,P_mm,cumm_prec,HP_fresh_snow,snowfall,cummulative_snowfall,month
2024-01-10T17:56:00Z,12,0.09,83.63,0.00,-11.11111111111111,-14.385111111111112,2.205,28.91,68.62237440829426,32.13237692535287,376.01919597296103,Jan
2024-01-10T18:56:00Z,12,0.1,83.63,0.00,-11.11111111111111,-14.385111111111112,2.45,31.36,68.62237440829426,35.702641028169865,411.7218370011309,Jan
2024-01-10T19:56:00Z,11,0.01,83.56,0.00,-11.666666666666668,-14.954666666666668,0.245,31.605,68.48677726309246,3.577332877831741,415.29916987896263,Jan
2024-01-10T20:56:00Z,10,0.01,79.76,0.00,-12.222222222222223,-16.270222222222223,0.245,31.85,68.3773578737567,3.5830574274650537,418.8822273064277,Jan
2024-01-11T19:56:00Z,7,0.01,87.2,0.00,-13.88888888888889,-16.448888888888888,0.245,32.095,68.16031859795787,3.594466766581992,422.47669407300964,Jan
2024-01-14T21:56:00Z,6,0.01,79.41,0.00,-14.444444444444445,-18.562444444444445,0.245,32.34,68.11392380418809,3.5969150845621347,426.0736091575718,Jan
2024-01-17T03:56:00Z,8,0.01,83.34,0.00,-13.333333333333334,-16.665333333333333,0.245,32.585,68.21781299292387,3.5914373277462515,429.66504648531804,Jan
2024-01-17T04:56:00Z,9,0.02,83.41,0.00,-12.777777777777779,-16.09577777777778,0.49,33.075,68.28906248416871,7.175380392923032,436.8404268782411,Jan
2024-01-17T05:56:00Z,9,0.03,87.31,0.00,-12.777777777777779,-15.315777777777779,0.735,33.81,68.28906248416871,10.763070589384549,447.60349746762563,Jan
2024-01-17T07:56:00Z,10,0.01,87.37,0.00,-12.222222222222223,-14.748222222222221,0.245,34.055,68.3773578737567,3.5830574274650537,451.1865548950907,Jan
2024-01-17T08:56:00Z,11,0.01,87.42,0.00,-11.666666666666668,-14.182666666666668,0.245,34.3,68.48677726309246,3.577332877831741,454.76388777292243,Jan
2024-01-19T11:56:00Z,28,0.01,81.25,0.00,-2.2222222222222223,-5.972222222222222,0.245,34.545,89.65045559050863,2.7328360841697537,457.4967238570922,Jan
2024-01-20T20:56:00Z,30,0.01,88.44,0.00,-1.1111111111111112,-3.4231111111111114,0.245,34.79,101.29193205395168,2.4187513756722923,459.9154752327645,Jan
2024-01-21T06:56:00Z,27,0.01,92.05,0.00,-2.7777777777777777,-4.367777777777778,0.245,35.035,85.45527463401083,2.8669968126518786,462.78247204541634,Jan
2024-01-21T18:56:00Z,30,0.01,84.85,0.00,-1.1111111111111112,-4.141111111111112,0.245,35.28,101.29193205395168,2.4187513756722923,465.2012234210886,Jan
2024-01-22T08:56:00Z,27,0.01,88.28,0.00,-2.7777777777777777,-5.121777777777778,0.245,35.525,85.45527463401083,2.8669968126518786,468.06822023374053,Jan
2024-01-23T10:56:00Z,25,0.01,84.53,0.00,-3.8888888888888893,-6.982888888888889,0.245,35.77,79.33826329041156,3.088043395948768,471.1562636296893,Jan
