valid,p01i,tmpf,sknt,relh,tmp,tmp_c,wind_ms,P_mm,CR_snow,CR_mix,P_corr,cummulative_precip_mm,cummulative_corr_precip_mm,snow_Ta,Td,snow_Td,snow_prob,snow_from_fraction,cumm_snow_Ta,cumm_snow_Td,cumm_snow_F
2023-11-13T13:56:00Z,0,46,3,21.75,14,7.777777777700001,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,186.944,193.0995300609502,0,-7.8722222223,0,0.15600000000651004,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-13T14:56:00Z,0,45,4,22.59,13,7.22222222215,2.05761316872428,0,0.8681428021259515,0.8947621399176955,0,186.944,193.0995300609502,0,-8.25977777785,0,0.20250000000604507,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-13T15:56:00Z,0,43,6,25.5,11,6.1111111110500005,3.0864197530864197,0,0.7501522711519343,0.8369432098765431,0,186.944,193.0995300609502,0,-8.78888888895,0,0.295500000005115,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-13T16:56:00Z,0,37,3,36.79,5,2.77777777775,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,186.944,193.0995300609502,0,-9.86422222225,0,0.574500000002325,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-13T17:56:00Z,0,29,0,60.39,-3,-1.66666666665,0,0,1,1.0104,0,186.944,193.0995300609502,0,-9.58866666665,0,0.946499999998605,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-13T18:56:00Z,0,27,0,68.45,-5,-2.77777777775,0,0,1,1.0104,0,186.944,193.0995300609502,0,-9.087777777749999,0,1.039499999997675,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-13T19:56:00Z,0,32,5,51.2,0,0,2.57201646090535,0,0.8114371074684765,0.8658526748971193,0,186.944,193.0995300609502,0,-9.76,0,0.807,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-13T20:56:00Z,0,33,4,47.08,1,0.55555555555,2.05761316872428,0,0.8681428021259515,0.8947621399176955,0,186.944,193.0995300609502,0,-10.028444444449999,0,0.760500000000465,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-13T21:56:00Z,0,30,3,53.15,-2,-1.1111111111,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,186.944,193.0995300609502,0,-10.4811111111,0,0.8999999999990701,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-13T22:56:00Z,0,26,0,68.32,-6,-3.3333333333,0,0,1,1.0104,0,186.944,193.0995300609502,0,-9.6693333333000009,0,1.08599999999721,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-13T23:56:00Z,0,24,0,74.26,-8,-4.4444444444,0,0,1,1.0104,0,186.944,193.0995300609502,0,-9.592444444399998,0,1.1789999999962801,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-14T00:56:00Z,0,24,0,74.26,-8,-4.4444444444,0,0,1,1.0104,0,186.944,193.0995300609502,0,-9.592444444399998,0,1.1789999999962801,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-14T01:56:00Z,0,25,0,71.22,-7,-3.8888888888500004,0,0,1,1.0104,0,186.944,193.0995300609502,0,-9.644888888850002,0,1.132499999996745,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-14T02:56:00Z,0,25,0,71.22,-7,-3.8888888888500004,0,0,1,1.0104,0,186.944,193.0995300609502,0,-9.644888888850002,0,1.132499999996745,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-14T03:56:00Z,0,22,0,77.34,-10,-5.5555555555,0,0,1,1.0104,0,186.944,193.0995300609502,0,-10.0875555555,0,1.27199999999535,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-14T04:56:00Z,0,21,0,80.69,-11,-6.1111111110500005,0,0,1,1.0104,0,186.944,193.0995300609502,0,-9.97311111105,0,1.3184999999948852,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-14T05:56:00Z,0,22,3,77.34,-10,-5.5555555555,1.5432098765432098,0,0.9180824869477516,0.9236716049382716,0,186.944,193.0995300609502,0,-10.0875555555,0,1.27199999999535,0,41.104625034709315,82.09487721321163,106.9124844047941
2023-11-14T06:56:00Z,0,23,0,77.44,-9,-4.99999999995,0,0,1,1.0104,0,186.944,193.0995300609502,0,-9.51199999995,0,1.2254999999958152,0,41.104625034709315,82.09487721321163,106.9124844047941
