station,valid,lon,lat,elevation,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3,wxcodes
WYS,2023-09-07 05:55,-111.1176,44.6884,2026.60,BKN,M,M,10000.00,M,M,M
WYS,2023-09-07 06:35,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-07 07:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-07 08:55,-111.1176,44.6884,2026.60,FEW,M,M,10000.00,M,M,M
WYS,2023-09-07 09:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-07 10:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-07 11:35,-111.1176,44.6884,2026.60,BKN,OVC,M,8000.00,9500.00,M,M
WYS,2023-09-07 12:55,-111.1176,44.6884,2026.60,FEW,SCT,BKN,2300.00,4000.00,5000.00,M
WYS,2023-09-07 13:40,-111.1176,44.6884,2026.60,OVC,M,M,8000.00,M,M,M
WYS,2023-09-07 14:55,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-07 15:55,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-07 16:35,-111.1176,44.6884,2026.60,M,M,M,M,M,M,M
WYS,2023-09-07 17:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-07 18:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-07 19:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-07 20:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-07 21:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-07 22:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-07 23:55,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-08 00:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
WYS,2023-09-08 01:40,-111.1176,44.6884,2026.60,CLR,M,M,M,M,M,M
